predicted,actual,correct,plate_x,plate_z,release_speed
Cutter,Cutter,True,0.21,-0.09,0.59
Cutter,Cutter,True,-0.37,0.49,0.51
4-Seam Fastball,4-Seam Fastball,True,0.2,0.03,0.73
Cutter,Cutter,True,0.31,0.13,0.4
4-Seam Fastball,4-Seam Fastball,True,-0.21,0.63,0.75
4-Seam Fastball,4-Seam Fastball,True,0.24,0.34,0.66
Slider,Slider,True,-0.34,0.56,0.04
Slider,Slider,True,0.57,-0.37,0.08
Curveball,Curveball,True,-0.36,0.06,-0.46
4-Seam Fastball,Sinker,False,-0.36,0.6,0.66
Changeup,Changeup,True,-0.25,-0.42,0.0
Slider,Slider,True,0.01,-0.56,0.07
4-Seam Fastball,4-Seam Fastball,True,-0.56,0.36,0.77
Curveball,Curveball,True,-0.39,0.51,-0.65
4-Seam Fastball,Sinker,False,0.24,-0.02,0.63
Slider,Slider,True,-0.04,-0.3,-0.02
Curveball,Curveball,True,-0.51,0.14,-0.72
Curveball,Curveball,True,-1.0,0.37,-0.51
Cutter,Cutter,True,0.13,-0.32,0.34
4-Seam Fastball,4-Seam Fastball,True,-0.11,0.78,0.73
Curveball,Curveball,True,0.11,-0.41,-0.6
Cutter,Cutter,True,-0.67,0.35,0.44
4-Seam Fastball,4-Seam Fastball,True,0.09,-0.52,0.55
4-Seam Fastball,4-Seam Fastball,True,0.24,-0.3,0.76
4-Seam Fastball,4-Seam Fastball,True,-0.14,-0.21,0.74
4-Seam Fastball,4-Seam Fastball,True,-0.38,0.55,0.72
Curveball,Curveball,True,-0.42,0.13,-0.51
4-Seam Fastball,4-Seam Fastball,True,-0.59,0.11,0.53
4-Seam Fastball,4-Seam Fastball,True,-0.17,0.82,0.6
Changeup,Changeup,True,-0.64,0.4,-0.04
Cutter,Cutter,True,-0.07,0.73,0.41
Changeup,Changeup,True,0.34,0.23,-0.05
Changeup,Changeup,True,-0.62,-0.13,0.01
Changeup,Changeup,True,-0.09,-0.59,-0.1
4-Seam Fastball,4-Seam Fastball,True,0.08,-0.32,0.55
Cutter,Cutter,True,-0.18,0.03,0.37
Cutter,Cutter,True,0.33,0.11,0.52
Curveball,Curveball,True,-0.24,-0.1,-0.8
4-Seam Fastball,4-Seam Fastball,True,-0.29,0.62,0.81
Cutter,Cutter,True,0.16,0.21,0.39
Slider,Slider,True,0.21,-0.31,0.04
Curveball,Curveball,True,0.1,-0.23,-0.78
4-Seam Fastball,Sinker,False,-0.43,0.25,0.74
Cutter,Cutter,True,0.01,-0.34,0.54
4-Seam Fastball,4-Seam Fastball,True,0.21,0.14,0.54
Cutter,Cutter,True,0.07,0.49,0.37
Changeup,Changeup,True,-0.65,0.23,-0.13
Slider,Slider,True,-0.03,-0.22,-0.07
4-Seam Fastball,4-Seam Fastball,True,0.21,0.07,0.77
4-Seam Fastball,Sinker,False,-0.48,0.03,0.9
Cutter,Cutter,True,0.41,0.08,0.42
Curveball,Curveball,True,-0.44,0.26,-0.43
Slider,Slider,True,0.21,0.14,-0.07
4-Seam Fastball,Sinker,False,0.34,-0.2,0.75
Changeup,Changeup,True,-0.3,-0.23,0.04
Curveball,Curveball,True,0.28,-0.2,-0.83
Cutter,Cutter,True,0.32,0.18,0.42
Cutter,Cutter,True,0.17,-0.6,0.28
4-Seam Fastball,4-Seam Fastball,True,-0.39,0.44,0.63
4-Seam Fastball,4-Seam Fastball,True,-0.26,0.62,0.63
4-Seam Fastball,4-Seam Fastball,True,-0.04,0.27,0.6
Curveball,Curveball,True,0.21,0.06,-0.69
Slider,Slider,True,0.29,-0.31,0.1
Slider,Cutter,False,0.25,-0.03,0.12
Changeup,Changeup,True,-0.05,-0.44,0.04
Changeup,Changeup,True,0.07,-0.77,-0.13
Curveball,Curveball,True,-0.34,0.64,-0.81
4-Seam Fastball,Sinker,False,0.17,-0.21,0.51
Changeup,Changeup,True,-0.62,-0.13,-0.07
4-Seam Fastball,4-Seam Fastball,True,0.02,0.39,0.77
Slider,Slider,True,-0.37,0.37,-0.07
Cutter,Cutter,True,0.44,0.18,0.54
4-Seam Fastball,Sinker,False,-0.64,0.32,0.49
Cutter,Cutter,True,0.13,-0.06,0.34
Curveball,Curveball,True,0.29,-0.25,-0.56
Cutter,Cutter,True,-0.08,0.5,0.35
Slider,Slider,True,-0.05,0.32,-0.07
Slider,Slider,True,0.1,-0.28,-0.13
Cutter,Cutter,True,-0.07,0.81,0.39
Curveball,Curveball,True,-0.55,0.29,-0.76
4-Seam Fastball,4-Seam Fastball,True,0.31,0.41,0.76
4-Seam Fastball,4-Seam Fastball,True,-0.51,0.65,0.64
Curveball,Curveball,True,-0.55,0.32,-0.57
Cutter,Cutter,True,0.04,0.49,0.47
Curveball,Curveball,True,0.27,-0.82,-0.45
Cutter,Cutter,True,0.06,-0.39,0.33
Curveball,Curveball,True,-0.04,-0.18,-0.68
Curveball,Curveball,True,-0.24,0.65,-0.72
Changeup,Changeup,True,-0.12,-0.39,0.08
