predicted,actual,correct,plate_x,plate_z,release_speed
Curveball,Curveball,True,0.49,0.02,-0.52
Changeup,Changeup,True,0.59,-0.12,0.12
Curveball,Curveball,True,0.08,0.05,-0.51
Changeup,Changeup,True,0.09,-0.11,-0.12
Curveball,Curveball,True,0.01,-0.55,-0.38
Curveball,Curveball,True,0.26,-0.04,-0.43
Slider,Slider,True,-0.2,-0.23,-0.11
Curveball,Curveball,True,-0.08,-0.12,-0.35
Slider,Slider,True,-0.46,-0.15,-0.03
Changeup,Changeup,True,0.57,0.33,-0.06
Curveball,Curveball,True,0.08,0.53,-0.77
4-Seam Fastball,4-Seam Fastball,True,0.07,0.67,0.87
Changeup,Changeup,True,0.36,-0.01,-0.32
4-Seam Fastball,4-Seam Fastball,True,0.36,0.54,0.61
Curveball,Curveball,True,0.28,-0.16,-0.45
Slider,Slider,True,-0.32,-0.34,0.21
4-Seam Fastball,4-Seam Fastball,True,-0.3,0.1,0.96
Changeup,Changeup,True,-0.06,-0.06,-0.1
4-Seam Fastball,4-Seam Fastball,True,0.43,0.77,0.79
Curveball,Curveball,True,-0.04,-0.36,-0.62
Changeup,Changeup,True,0.77,0.21,-0.05
Slider,Slider,True,-0.17,0.15,0.1
Changeup,Changeup,True,0.87,0.32,0.1
4-Seam Fastball,4-Seam Fastball,True,0.22,0.54,0.75
Curveball,Curveball,True,0.28,-0.11,-0.49
Curveball,Curveball,True,0.08,-0.15,-0.47
Slider,Slider,True,-0.28,0.08,0.23
Slider,Slider,True,-0.54,-0.08,0.16
Curveball,Curveball,True,0.02,-0.27,-0.52
Curveball,Curveball,True,0.07,-0.12,-0.49
Curveball,Curveball,True,0.32,0.27,-0.73
4-Seam Fastball,4-Seam Fastball,True,0.28,-0.05,0.81
Changeup,Changeup,True,0.64,0.07,-0.3
Curveball,Curveball,True,0.46,-0.19,-0.54
Changeup,Changeup,True,0.44,-0.06,-0.05
4-Seam Fastball,4-Seam Fastball,True,-0.26,0.6,0.92
Changeup,Changeup,True,0.16,-0.07,0.11
4-Seam Fastball,4-Seam Fastball,True,-0.28,0.24,0.8
Slider,Slider,True,-0.2,-0.16,0.12
4-Seam Fastball,4-Seam Fastball,True,0.35,0.64,0.72
4-Seam Fastball,4-Seam Fastball,True,-0.43,0.22,0.79
Curveball,Curveball,True,0.26,-0.07,-0.51
Changeup,Changeup,True,0.83,0.08,-0.13
4-Seam Fastball,4-Seam Fastball,True,0.48,0.69,0.92
Changeup,Changeup,True,0.34,-0.14,0.15
Slider,Slider,True,0.11,-0.01,-0.12
4-Seam Fastball,4-Seam Fastball,True,-0.28,0.26,0.63
Slider,Slider,True,-0.2,-0.03,0.14
4-Seam Fastball,4-Seam Fastball,True,0.69,0.47,0.84
4-Seam Fastball,4-Seam Fastball,True,0.4,0.56,0.82
Curveball,Curveball,True,-0.37,-0.64,-0.43
Changeup,Changeup,True,0.47,-0.01,-0.16
Changeup,Changeup,True,0.22,-0.04,-0.1
Slider,Slider,True,-0.29,-0.14,0.13
Curveball,Curveball,True,-0.15,-0.09,-0.66
Slider,Slider,True,-0.14,-0.31,0.18
4-Seam Fastball,4-Seam Fastball,True,0.14,0.7,0.69
4-Seam Fastball,4-Seam Fastball,True,0.39,-0.1,0.74
Curveball,Curveball,True,0.28,0.24,-0.49
Changeup,Changeup,True,0.22,0.14,-0.28
4-Seam Fastball,4-Seam Fastball,True,-0.16,0.53,0.62
Slider,Slider,True,-0.23,0.09,0.13
Curveball,Curveball,True,0.14,-0.13,-0.46
Slider,Slider,True,0.26,-0.27,0.1
Changeup,Changeup,True,0.03,-0.13,0.04
Curveball,Curveball,True,-0.09,-0.71,-0.6
Changeup,Changeup,True,0.51,-0.2,0.19
Slider,Slider,True,-0.54,-0.42,0.34
4-Seam Fastball,4-Seam Fastball,True,0.45,0.7,0.84
Slider,Slider,True,0.32,-0.0,0.29
Curveball,Curveball,True,-0.13,-0.51,-0.44
Changeup,Changeup,True,0.59,0.26,0.1
Changeup,Changeup,True,0.35,-0.17,0.04
Changeup,Changeup,True,0.15,-0.22,-0.01
Changeup,Changeup,True,0.66,0.15,-0.17
Changeup,Changeup,True,0.87,0.25,0.09
4-Seam Fastball,4-Seam Fastball,True,-0.33,0.08,0.8
Slider,Slider,True,-0.35,0.05,0.0
Curveball,Curveball,True,0.14,-0.37,-0.35
Slider,Slider,True,-0.32,0.01,0.31
Slider,Slider,True,-0.57,-0.34,0.2
4-Seam Fastball,4-Seam Fastball,True,0.87,0.63,0.91
4-Seam Fastball,4-Seam Fastball,True,0.67,0.23,0.9
Slider,Slider,True,0.08,-0.03,0.28
Changeup,Changeup,True,0.54,0.0,0.04
Slider,Slider,True,-0.01,0.07,0.08
Slider,Slider,True,-0.47,0.01,0.12
Slider,Slider,True,-0.07,-0.07,0.33
4-Seam Fastball,4-Seam Fastball,True,0.55,0.69,0.7
Slider,Slider,True,0.16,-0.13,0.18
Slider,Slider,True,-0.09,0.0,0.24
Slider,Slider,True,-0.65,0.1,0.14
Slider,Slider,True,-0.37,0.01,0.19
Curveball,Curveball,True,-0.26,-0.07,-0.39
Slider,Slider,True,0.16,0.43,0.35
Curveball,Curveball,True,0.18,-0.24,-0.18
4-Seam Fastball,4-Seam Fastball,True,0.57,-0.03,0.74
Curveball,Curveball,True,0.31,-0.15,-0.51
Curveball,Curveball,True,-0.02,-0.5,-0.54
4-Seam Fastball,4-Seam Fastball,True,-0.44,0.02,0.86
Slider,Slider,True,-0.14,-0.21,0.23
Curveball,Curveball,True,0.18,-0.58,-0.48
4-Seam Fastball,4-Seam Fastball,True,0.55,0.76,0.94
Slider,Slider,True,-0.02,-0.24,0.09
Curveball,Curveball,True,-0.35,-0.29,-0.41
Changeup,Changeup,True,0.66,0.07,0.08
Changeup,Changeup,True,0.13,-0.25,-0.01
Curveball,Curveball,True,-0.07,-0.45,-0.48
Curveball,Curveball,True,-0.26,-0.58,-0.52
Changeup,Changeup,True,0.5,0.07,-0.08
Slider,Slider,True,-0.19,-0.01,0.11
4-Seam Fastball,4-Seam Fastball,True,-0.29,0.09,0.84
4-Seam Fastball,4-Seam Fastball,True,0.65,0.64,0.71
Slider,Slider,True,-0.18,0.05,0.26
Changeup,Changeup,True,0.39,-0.35,-0.15
Curveball,Curveball,True,0.05,-0.3,-0.44
Changeup,Changeup,True,0.51,-0.02,-0.18
Changeup,Changeup,True,0.27,-0.06,-0.29
Slider,Slider,True,-0.65,-0.55,0.1
Curveball,Curveball,True,-0.07,-0.55,-0.46
Curveball,Curveball,True,0.44,-0.01,-0.46
Changeup,Changeup,True,0.65,-0.11,-0.02
Changeup,Changeup,True,0.08,-0.33,-0.29
4-Seam Fastball,4-Seam Fastball,True,0.07,0.44,0.89
Changeup,Changeup,True,0.18,0.06,0.0
Curveball,Curveball,True,-0.25,-0.55,-0.26
Curveball,Curveball,True,-0.67,-0.83,-0.43
Slider,Slider,True,-0.33,-0.49,0.08
Changeup,Changeup,True,0.33,0.17,-0.02
4-Seam Fastball,4-Seam Fastball,True,0.51,0.61,0.82
Curveball,Curveball,True,-0.35,-0.31,-0.62
Curveball,Curveball,True,0.01,-0.04,-0.38
Changeup,Changeup,True,0.43,0.21,0.09
Curveball,Curveball,True,-0.44,-0.36,-0.6
Changeup,Changeup,True,0.28,-0.04,-0.27
Changeup,Changeup,True,0.68,0.0,0.01
4-Seam Fastball,4-Seam Fastball,True,0.03,0.99,0.71
Changeup,Changeup,True,0.74,0.01,-0.04
Changeup,Changeup,True,0.78,0.0,0.13
Changeup,Changeup,True,0.1,-0.13,0.02
Changeup,Changeup,True,0.16,-0.05,-0.07
4-Seam Fastball,4-Seam Fastball,True,-0.4,0.18,0.8
Changeup,Changeup,True,0.43,-0.02,-0.04
Changeup,Changeup,True,-0.15,-0.12,-0.31
4-Seam Fastball,4-Seam Fastball,True,0.45,0.76,0.82
Changeup,Changeup,True,0.48,0.08,-0.06
Slider,Slider,True,-0.6,-0.38,-0.06
Curveball,Curveball,True,0.22,-0.04,-0.46
4-Seam Fastball,4-Seam Fastball,True,0.71,0.27,0.79
Curveball,Curveball,True,0.32,0.36,-0.65
4-Seam Fastball,4-Seam Fastball,True,0.35,0.68,0.79
4-Seam Fastball,4-Seam Fastball,True,-0.51,0.02,0.82
Changeup,Changeup,True,0.35,-0.22,0.04
Curveball,Curveball,True,-0.38,-0.21,-0.46
Curveball,Curveball,True,-0.35,-0.37,-0.36
Curveball,Curveball,True,-0.18,-0.15,-0.29
Slider,Slider,True,-0.49,-0.19,0.26
Curveball,Curveball,True,-0.65,-0.26,-0.35
Curveball,Curveball,True,-0.26,-0.08,-0.44
Curveball,Curveball,True,-0.16,-0.14,-0.54
Slider,Slider,True,0.0,0.1,0.1
4-Seam Fastball,4-Seam Fastball,True,-0.29,0.15,0.79
4-Seam Fastball,4-Seam Fastball,True,-0.34,0.15,0.71
4-Seam Fastball,4-Seam Fastball,True,-0.48,0.34,0.8
Changeup,Changeup,True,0.32,0.23,0.19
4-Seam Fastball,4-Seam Fastball,True,0.52,0.03,0.82
Changeup,Changeup,True,0.56,-0.08,-0.36
Curveball,Curveball,True,0.62,0.41,-0.55
Changeup,Changeup,True,0.54,0.44,0.0
Changeup,Changeup,True,0.33,0.02,0.12
4-Seam Fastball,4-Seam Fastball,True,-0.17,0.49,0.84
Curveball,Curveball,True,-0.17,-0.29,-0.34
Curveball,Curveball,True,0.66,0.47,-0.88
Slider,Slider,True,-0.19,-0.25,0.36
Curveball,Curveball,True,0.3,-0.07,-0.46
Changeup,Changeup,True,0.55,0.21,-0.14
Changeup,Changeup,True,0.4,-0.11,-0.07
4-Seam Fastball,4-Seam Fastball,True,0.18,0.54,0.71
Curveball,Curveball,True,-0.02,-0.14,-0.61
Curveball,Curveball,True,-0.29,-0.11,-0.43
Changeup,Changeup,True,0.44,0.26,-0.01
Changeup,Changeup,True,0.48,0.29,0.08
Curveball,Curveball,True,0.03,-0.43,-0.32
Slider,Slider,True,-0.18,-0.25,-0.01
Curveball,Curveball,True,-0.05,-0.11,-0.58
4-Seam Fastball,4-Seam Fastball,True,0.83,0.4,0.84
Changeup,Changeup,True,0.35,-0.23,0.12
4-Seam Fastball,4-Seam Fastball,True,0.75,0.67,0.77
4-Seam Fastball,4-Seam Fastball,True,-0.0,0.62,0.95
Curveball,Curveball,True,0.58,0.2,-0.6
Slider,Slider,True,0.16,0.16,0.03
Changeup,Changeup,True,0.51,0.17,-0.04
Curveball,Curveball,True,0.72,0.24,-0.54
Changeup,Changeup,True,0.14,0.01,-0.03
4-Seam Fastball,4-Seam Fastball,True,0.31,0.72,0.87
Changeup,Changeup,True,0.43,-0.21,0.12
Slider,Slider,True,-0.32,-0.35,0.24
Changeup,Changeup,True,0.24,0.17,-0.46
Slider,Slider,True,-0.24,0.16,0.23
Slider,Slider,True,-0.2,0.13,-0.06
Curveball,Curveball,True,0.07,-0.22,-0.65
Changeup,Changeup,True,0.31,0.05,-0.01
Changeup,Changeup,True,0.66,0.08,0.03
Curveball,Curveball,True,-0.04,-0.11,-0.54
Slider,Slider,True,-0.31,-0.08,0.19
